random_state,baseline_macro_f1,optimized_macro_f1,delta_macro_f1,baseline_acc,optimized_acc,test_rois,train_files,test_files,fixed_by_optimized,regressed_by_optimized
184,0.9845827056885197,0.9885133311889498,0.003930625500430107,0.9868852459016394,0.9901639344262295,305,555,186,1,0
75,0.9773347022001683,0.9810459183673469,0.0037112161671786215,0.9805825242718447,0.9838187702265372,309,555,186,1,0
52,0.9820888525978346,0.9856186784003685,0.0035298258025339146,0.9873417721518988,0.990506329113924,316,555,186,2,1
82,0.9752090301003344,0.9786741877650968,0.0034651576647624083,0.9838709677419355,0.9870967741935484,310,555,186,1,0
38,0.981188554833488,0.9846206425153794,0.003432087681891405,0.9863945578231292,0.9897959183673469,294,555,186,2,1
66,0.9851813137144578,0.9877971873620484,0.0026158736475905275,0.9866220735785953,0.9899665551839465,299,555,186,1,0
125,0.9891493055555556,0.9917308723976858,0.0025815668421301785,0.993421052631579,0.993421052631579,304,555,186,1,1
196,0.983807967631497,0.9862497227766689,0.0024417551451718644,0.9869706840390879,0.990228013029316,307,555,186,1,0
131,0.9739236732004894,0.9762162936559258,0.0022926204554363228,0.98,0.9833333333333333,300,555,186,2,1
151,0.9725902643455835,0.9748763242807486,0.0022860599351650635,0.9759450171821306,0.979381443298969,291,555,186,4,3
98,0.9805599972782635,0.9828280132742294,0.002268015995965933,0.9862068965517241,0.9862068965517241,290,555,186,1,1
5,0.9758217972503687,0.9780710518168977,0.0022492545665290242,0.9810126582278481,0.9841772151898734,316,555,186,2,1
147,0.9763993316624895,0.9784343742896113,0.0020350426271218414,0.979381443298969,0.979381443298969,291,555,186,1,1
152,0.9852137845104597,0.9871377282701033,0.0019239437596435538,0.9862068965517241,0.9896551724137931,290,555,186,1,0
165,0.9848893986626737,0.9868107302533533,0.0019213315906796424,0.9902912621359223,0.9902912621359223,309,555,186,1,1
49,0.9831489595008321,0.9849729247393318,0.001823965238499703,0.987220447284345,0.987220447284345,313,555,186,0,0
60,0.9778695552875465,0.9796606860411077,0.0017911307535611876,0.9810725552050473,0.9842271293375394,317,555,186,1,0
128,0.9734245971115719,0.9751925001925001,0.0017679030809282237,0.9811912225705329,0.9811912225705329,319,555,186,1,1
100,0.9808114758533744,0.982534908776962,0.0017234329235876755,0.984472049689441,0.984472049689441,322,555,186,2,2
190,0.9791380444883133,0.9808503732554366,0.001712328767123239,0.9846153846153847,0.9876923076923076,325,555,186,2,1
185,0.9889194295669116,0.9906029312504132,0.0016835016835016203,0.990506329113924,0.9936708860759493,316,555,186,2,1
86,0.9691806015335427,0.97081474947799,0.0016341479444472728,0.9747634069400631,0.9747634069400631,317,555,186,3,3
115,0.9823953924315587,0.9834286300727189,0.0010332376411601452,0.9869281045751634,0.9869281045751634,306,555,186,2,2
20,0.9745854717726017,0.9754619565217391,0.000876484749137374,0.980327868852459,0.9836065573770492,305,555,186,4,3
104,0.9828527939904294,0.9836215685326701,0.0007687745422407799,0.9862542955326461,0.9862542955326461,291,555,186,2,2
119,0.9847536346132381,0.9852427068921914,0.0004890722789533397,0.9870967741935484,0.9838709677419355,310,555,186,0,1
136,0.9774140542935136,0.97757011385178,0.00015605955826647477,0.9802631578947368,0.9802631578947368,304,555,186,2,2
83,0.9749212782650609,0.9750290360046457,0.00010775773958482393,0.9797979797979798,0.9797979797979798,297,555,186,2,2
107,0.9810940968889663,0.9811341065334247,4.0009644458383065e-05,0.987460815047022,0.987460815047022,319,555,186,1,1
143,0.9892676767676768,0.9892676767676768,0.0,0.993103448275862,0.993103448275862,290,555,186,0,0
177,0.9883579808418566,0.9883579808418566,0.0,0.9897959183673469,0.9897959183673469,294,555,186,0,0
186,0.9776639795603719,0.9776639795603719,0.0,0.9798657718120806,0.9798657718120806,298,555,186,1,1
195,0.9878485192897677,0.9878485192897677,0.0,0.9903225806451613,0.9903225806451613,310,555,186,0,0
108,0.9899038461538462,0.9899038461538462,0.0,0.9931506849315068,0.9931506849315068,292,555,186,0,0
146,0.9890105805387153,0.9890105805387153,0.0,0.99,0.99,300,555,186,0,0
25,0.9894943743126685,0.9894943743126685,0.0,0.993127147766323,0.993127147766323,291,555,186,0,0
44,0.9900678106118699,0.9900678106118699,0.0,0.9900332225913622,0.9900332225913622,301,555,186,0,0
74,0.9849449037507279,0.9849449037507279,0.0,0.9898305084745763,0.9898305084745763,295,555,186,0,0
80,0.9896771771771772,0.9896771771771772,0.0,0.9930795847750865,0.9930795847750865,289,555,186,1,1
91,0.9906699089867407,0.9906699089867407,0.0,0.9937106918238994,0.9937106918238994,318,555,186,0,0
102,0.9924848858269997,0.9924848858269997,0.0,0.993103448275862,0.993103448275862,290,555,186,0,0
12,0.9870793488575809,0.987018701870187,-6.06469873938309e-05,0.9900990099009901,0.9900990099009901,303,555,186,1,1
121,0.9731064520484902,0.9729993588622718,-0.0001070931862183766,0.9765886287625418,0.9765886287625418,299,555,186,2,2
23,0.9742677317840716,0.973792443806791,-0.0004752879772805807,0.9774193548387097,0.9806451612903225,310,555,186,4,3
