image_size,orientations,pixels_per_cell,cells_per_block,preprocessing,feature_dim,accuracy,macro_precision,macro_recall,macro_f1,seconds
64x64,9,16x16,2x2,gray_clahe_blur,324,0.9738562091503268,0.9731922735010743,0.9547872340425532,0.963005964479577,1.965179204940796
64x64,9,16x16,3x3,gray,324,0.9640522875816994,0.9426318723229479,0.9608317214700194,0.9505870760418484,1.4476535320281982
64x64,9,16x16,3x3,gray_clahe,324,0.9705882352941176,0.9588578088578089,0.9547872340425532,0.956781691769865,1.68076753616333
64x64,9,16x16,3x3,gray_clahe_blur,324,0.9640522875816994,0.9473157051282052,0.9434235976789169,0.9453010604419056,1.6124749183654785
64x64,12,4x4,1x1,gray,3072,0.9901960784313726,0.9927475299558545,0.9830754352030948,0.9876576240734345,5.749114036560059
64x64,12,4x4,1x1,gray_clahe,3072,0.9738562091503268,0.9643760812068211,0.9643778207607995,0.964348688248742,15.629302263259888
64x64,12,4x4,1x1,gray_clahe_blur,3072,0.9869281045751634,0.9851717723800969,0.9830754352030948,0.9840482126515231,8.219799995422363
64x64,12,4x4,2x2,gray,10800,0.9901960784313726,0.9835084033613446,0.9888781431334623,0.9861369310033463,6.2800867557525635
64x64,12,4x4,2x2,gray_clahe,10800,0.9738562091503268,0.962394197841959,0.9643778207607995,0.9633688718723369,9.344658613204956
64x64,12,4x4,2x2,gray_clahe_blur,10800,0.9869281045751634,0.9817729908864955,0.9830754352030948,0.9823096396246547,9.912168979644775
64x64,12,4x4,3x3,gray,21168,0.9869281045751634,0.9767857142857143,0.9850902643455834,0.9807166815545865,8.000619173049927
64x64,12,4x4,3x3,gray_clahe,21168,0.9738562091503268,0.9625072688505525,0.9643778207607995,0.9634258324556133,11.220366477966309
64x64,12,4x4,3x3,gray_clahe_blur,21168,0.9869281045751634,0.9817729908864955,0.9830754352030948,0.9823096396246547,11.893752813339233
64x64,12,8x8,1x1,gray,768,0.9803921568627451,0.9789026893504505,0.9641360412637009,0.9709700253621677,13.27600622177124
64x64,12,8x8,1x1,gray_clahe,768,0.9738562091503268,0.957438884644767,0.9623629916183107,0.9598479215053816,13.948412895202637
64x64,12,8x8,1x1,gray_clahe_blur,768,0.9869281045751634,0.987045406768972,0.9734848484848485,0.9796930488766085,16.17317509651184
64x64,12,8x8,2x2,gray,2352,0.9901960784313726,0.9866955933361361,0.9810606060606061,0.9837900500407049,2.0593552589416504
64x64,12,8x8,2x2,gray_clahe,2352,0.9771241830065359,0.9696348708584737,0.9661508704061896,0.9678246352378492,6.043119430541992
64x64,12,8x8,2x2,gray_clahe_blur,2352,0.9836601307189542,0.9828809966914805,0.9696969696969697,0.9760182302129369,3.2839674949645996
64x64,12,8x8,3x3,gray,3888,0.9934640522875817,0.9906636790439607,0.9886363636363636,0.9896324532515292,2.512373447418213
64x64,12,8x8,3x3,gray_clahe,3888,0.9771241830065359,0.9694302222635468,0.9641360412637009,0.9666973701098408,3.2784788608551025
64x64,12,8x8,3x3,gray_clahe_blur,3888,0.9836601307189542,0.9828809966914805,0.9696969696969697,0.9760182302129369,3.389848232269287
64x64,12,16x16,1x1,gray,192,0.9640522875816994,0.9492448471926084,0.9512411347517731,0.9502258760780955,1.060248613357544
64x64,12,16x16,1x1,gray_clahe,192,0.9477124183006536,0.9369777664472668,0.9287556415215991,0.9322491677988962,1.612393856048584
64x64,12,16x16,1x1,gray_clahe_blur,192,0.9640522875816994,0.9484507878437791,0.9512411347517731,0.9497837271333764,1.6644561290740967
64x64,12,16x16,2x2,gray,432,0.9738562091503268,0.9655387841222189,0.9605899419729207,0.9627717156082031,2.6285152435302734
64x64,12,16x16,2x2,gray_clahe,432,0.9705882352941176,0.9670770202020202,0.9509993552546745,0.9585061137692716,2.6391329765319824
64x64,12,16x16,2x2,gray_clahe_blur,432,0.9771241830065359,0.9751909466750752,0.9623629916183107,0.9682229720355069,2.4431605339050293
64x64,12,16x16,3x3,gray,432,0.9705882352941176,0.9556840121326198,0.9626047711154094,0.9590679973339047,2.3642361164093018
64x64,12,16x16,3x3,gray_clahe,432,0.9640522875816994,0.9614930156907769,0.9454384268214056,0.9529058013991721,2.2908499240875244
64x64,12,16x16,3x3,gray_clahe_blur,432,0.9640522875816994,0.9463723018978947,0.9492263056092843,0.9476806007250091,2.2312169075012207
96x96,6,4x4,1x1,gray,3456,0.9836601307189542,0.9751392637874458,0.9717117988394585,0.9733570833794798,9.980024099349976
96x96,6,4x4,1x1,gray_clahe,3456,0.9575163398692811,0.9372240460103574,0.9456802063185042,0.9413485165328664,25.854854583740234
96x96,6,4x4,1x1,gray_clahe_blur,3456,0.9771241830065359,0.9680836852257324,0.9681656995486783,0.967938542938543,21.641913652420044
96x96,6,4x4,2x2,gray,12696,0.9869281045751634,0.9828094930491071,0.9754996776273372,0.9788706070710278,11.68368124961853
96x96,6,4x4,2x2,gray_clahe,12696,0.9640522875816994,0.947298714129454,0.9530141843971631,0.9498234956369589,16.63885259628296
